date,last,open,high,low,volume,change_percent
2025-03-17,16395.0,16325.0,16402.5,16315.0,,0.31
2025-03-18,16420.0,16400.0,16477.5,16386.5,,0.15
2025-03-19,16520.0,16500.0,16537.5,16485.0,,0.61
2025-03-20,16470.0,16530.0,16537.5,16460.0,,-0.3
2025-03-21,16495.0,16497.5,16516.5,16475.0,,0.15
2025-03-24,16550.0,16495.0,16570.0,16495.0,,0.33
2025-03-25,16590.0,16597.5,16645.0,16587.5,,0.24
2025-03-26,16575.0,16605.0,16615.0,16560.0,,-0.09
2025-03-27,16555.0,16610.0,16615.0,16541.5,,-0.12
2025-03-28,16555.0,16555.0,16555.0,16555.0,,0.0
2025-03-31,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-01,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-02,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-03,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-04,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-07,16555.0,16555.0,16555.0,16555.0,,0.0
2025-04-08,16860.0,16852.5,16874.0,16825.0,,1.84
2025-04-09,16860.0,16925.0,16972.5,16862.5,,0.0
2025-04-10,16795.0,16815.0,16815.0,16727.5,,-0.39
2025-04-11,16790.0,16797.5,16820.0,16765.0,,-0.03
2025-04-14,16770.0,16787.5,16793.5,16750.0,,-0.12
2025-04-15,16810.0,16782.5,16825.0,16770.0,,0.24
2025-04-16,16820.0,16815.0,16855.0,16815.0,,0.06
2025-04-17,16820.0,16830.0,16845.0,16802.5,,0.0
2025-04-18,16820.0,16820.0,16820.0,16820.0,,0.0
2025-04-21,16800.0,16825.0,16837.5,16795.0,,-0.12
2025-04-22,16855.0,16835.0,16867.5,16835.0,,0.33
2025-04-23,16865.0,16870.0,16887.5,16855.0,,0.06
2025-04-24,16870.0,16867.5,16887.5,16862.5,,0.03
2025-04-25,16830.0,16825.0,16842.5,16807.5,,-0.24
2025-04-28,16855.0,16835.0,16867.0,16830.0,,0.15
2025-04-29,16760.0,16810.0,16815.0,16759.5,,-0.56
2025-04-30,16600.0,16715.0,16742.5,16597.5,,-0.95
2025-05-01,16600.0,16600.0,16600.0,16600.0,,0.0
