iter	Passed	Remaining
1244	5146	1054
1245	5149	1049
1246	5153	1045
1247	5157	1041
1248	5161	1037
1249	5165	1033
1250	5168	1028
1251	5172	1024
1252	5177	1020
1253	5181	1016
1254	5185	1012
1255	5189	1008
1256	5193	1003
1257	5197	999
1258	5201	995
1259	5205	991
1260	5208	987
1261	5212	983
1262	5216	978
1263	5220	974
1264	5224	970
1265	5228	966
1266	5232	962
1267	5236	958
1268	5241	954
1269	5244	949
1270	5248	945
1271	5252	941
1272	5256	937
1273	5260	933
1274	5264	928
1275	5267	924
1276	5271	920
1277	5276	916
1278	5280	912
1279	5283	908
1280	5287	904
1281	5291	899
1282	5295	895
1283	5300	891
1284	5304	887
1285	5308	883
1286	5312	879
1287	5316	874
1288	5319	870
1289	5324	866
1290	5327	862
1291	5331	858
1292	5335	854
1293	5340	850
1294	5343	845
1295	5347	841
1296	5351	837
1297	5355	833
1298	5359	829
1299	5363	825
1300	5367	821
1301	5371	816
1302	5375	812
1303	5379	808
1304	5383	804
1305	5387	800
1306	5391	796
1307	5395	792
1308	5399	787
1309	5403	783
1310	5407	779
1311	5412	775
1312	5415	771
1313	5419	767
1314	5423	763
1315	5427	758
1316	5431	754
1317	5435	750
1318	5440	746
1319	5444	742
1320	5448	738
1321	5452	734
1322	5456	730
1323	5460	725
1324	5464	721
1325	5468	717
1326	5472	713
1327	5476	709
1328	5480	705
1329	5484	701
1330	5488	696
1331	5492	692
1332	5496	688
1333	5500	684
1334	5505	680
1335	5508	676
1336	5512	672
1337	5516	667
1338	5520	663
1339	5524	659
1340	5528	655
1341	5532	651
1342	5536	647
1343	5540	643
1344	5544	638
1345	5548	634
1346	5552	630
1347	5556	626
1348	5560	622
1349	5565	618
1350	5569	614
1351	5573	610
1352	5577	605
1353	5581	601
1354	5585	597
1355	5589	593
1356	5593	589
1357	5597	585
1358	5601	581
1359	5605	577
1360	5609	572
1361	5613	568
1362	5617	564
1363	5621	560
1364	5624	556
1365	5628	552
1366	5632	548
1367	5636	543
1368	5640	539
1369	5644	535
1370	5648	531
1371	5652	527
1372	5656	523
1373	5660	519
1374	5664	514
1375	5668	510
1376	5672	506
1377	5676	502
1378	5680	498
1379	5684	494
1380	5688	490
1381	5692	486
1382	5696	481
1383	5700	477
1384	5704	473
1385	5708	469
1386	5712	465
1387	5716	461
1388	5720	457
1389	5724	453
1390	5728	448
1391	5732	444
1392	5736	440
1393	5740	436
1394	5744	432
1395	5748	428
1396	5752	424
1397	5756	420
1398	5760	415
1399	5764	411
1400	5768	407
1401	5772	403
1402	5776	399
1403	5780	395
1404	5784	391
1405	5788	387
1406	5792	382
1407	5796	378
1408	5800	374
1409	5804	370
1410	5808	366
1411	5812	362
1412	5816	358
1413	5820	353
1414	5824	349
1415	5828	345
1416	5832	341
1417	5836	337
1418	5840	333
1419	5844	329
1420	5848	325
1421	5852	321
1422	5856	316
1423	5860	312
1424	5864	308
1425	5868	304
1426	5872	300
1427	5876	296
1428	5880	292
1429	5883	288
1430	5887	283
1431	5891	279
1432	5895	275
1433	5899	271
1434	5904	267
1435	5907	263
1436	5911	259
1437	5915	255
1438	5919	250
1439	5923	246
1440	5927	242
1441	5931	238
1442	5935	234
1443	5939	230
1444	5943	226
1445	5947	222
1446	5950	217
1447	5954	213
1448	5958	209
1449	5962	205
1450	5966	201
1451	5970	197
1452	5974	193
1453	5978	189
1454	5982	185
1455	5986	180
1456	5990	176
1457	5994	172
1458	5998	168
1459	6002	164
1460	6005	160
1461	6009	156
1462	6013	152
1463	6017	147
1464	6021	143
1465	6025	139
1466	6029	135
1467	6033	131
1468	6037	127
1469	6041	123
1470	6045	119
1471	6049	115
1472	6053	110
1473	6057	106
1474	6061	102
1475	6065	98
1476	6069	94
1477	6073	90
1478	6077	86
1479	6081	82
1480	6086	78
1481	6090	73
1482	6094	69
1483	6098	65
1484	6102	61
1485	6106	57
1486	6110	53
1487	6113	49
1488	6117	45
1489	6121	41
1490	6125	36
1491	6130	32
1492	6134	28
1493	6138	24
1494	6142	20
1495	6146	16
1496	6150	12
1497	6154	8
1498	6158	4
1499	6162	0
